coverage,errors,time,rsum,size
87,0,8.599529099999927,29.269998,2
95,2,21.898783399999957,29.719998,2
89,0,10.49441139999908,29.079997999999996,2
86,0,13.181339099999605,29.269998,2
86,0,12.478759499997977,29.269998,2
108,1,17.976872100000037,29.629998,2
108,1,18.29104980000193,29.629998,2
86,0,10.654427499997837,29.269998,2
89,0,11.986043999997491,29.079997999999996,2
86,0,13.761215899998206,29.269998,2
79,0,19.478243999998085,29.379998,2
89,0,11.57459899999958,29.079997999999996,2
86,0,10.181151700002374,29.269998,2
86,0,11.096538199999486,29.269998,2
89,0,12.889923099999578,29.079997999999996,2
86,0,12.523447600000509,29.269998,2
86,0,11.7601399999985,29.269998,2
97,0,19.398610200001713,29.219997,3
55,2,19.665520700000343,28.189996,5
33,0,18.096719799999846,28.629997999999997,3
86,0,12.85196039999937,29.269998,2
86,0,14.140741299997899,29.269998,2
109,1,13.881534600001032,29.469998,2
86,0,11.775701099999424,29.269998,2
89,0,10.758040400000027,29.079997999999996,2
108,1,19.83131769999818,29.629998,2
108,1,19.743672399999923,29.629998,2
86,0,12.071667099997285,29.269998,2
86,0,13.351182700000209,29.269998,2
86,0,12.64555130000008,29.269998,2
108,1,19.43716359999962,29.629998,2
113,1,20.34172530000069,29.479998000000002,2
86,0,11.544943299999431,29.269998,2
113,1,18.94301110000015,29.479998000000002,2
86,0,12.340651999998954,29.269998,2
86,0,12.175623900002392,29.269998,2
89,0,10.980801800000336,29.079997999999996,2
109,1,10.718070399998396,29.469998,2
50,0,19.101157999997668,28.659997999999998,3
90,0,10.740141599999333,29.079997999999996,2
86,0,12.19028999999864,29.269998,2
86,0,15.112636899997597,29.269998,2
86,0,10.357699200001662,29.269998,2
89,0,11.054912399999012,29.079997999999996,2
86,0,9.725613900001918,29.269998,2
31,2,19.21872810000059,28.489997,4
108,1,18.586878699999943,29.629998,2
86,0,13.549384300000384,29.269998,2
86,0,13.500001099997462,29.269998,2
86,0,11.980795999999827,29.269998,2
25,9,16.923109100000147,28.419997000000002,4
52,0,17.474356499998976,28.779998,3
108,1,19.112646900000982,29.629998,2
86,0,11.334059499997238,29.269998,2
86,0,14.047555199998897,29.269998,2
86,0,13.248057500000868,29.269998,2
86,0,10.877925900000264,29.269998,2
86,0,11.917890900000202,29.269998,2
86,0,12.749814999999217,29.269998,2
89,0,13.253649700000096,29.079997999999996,2
86,0,12.84948440000153,29.269998,2
48,5,21.23570219999965,29.319997,3
86,0,14.339855299996998,29.269998,2
86,0,13.831655599999067,29.269998,2
113,1,22.016817799998535,29.479998000000002,2
86,0,12.323735900001338,29.269998,2
86,0,12.629998100001103,29.269998,2
100,6,15.974487399998907,29.089995000000002,5
113,1,21.374672000001738,29.479998000000002,2
86,0,11.768104500002664,29.269998,2
113,1,24.12697019999905,29.479998000000002,2
86,0,13.188527599999361,29.269998,2
109,1,16.08435780000218,29.629998,2
86,0,14.774801899999147,29.269998,2
82,0,10.123125800000707,29.259998,2
16,2,18.1909940000005,29.239995999999998,4
86,0,13.183876399998553,29.269998,2
25,2,19.247382699999434,28.889998,3
86,0,12.109667300002911,29.269998,2
86,0,12.984485500001028,29.269998,2
86,0,13.33772289999979,29.269998,2
108,1,18.864447799998743,29.629998,2
89,0,8.483164599998418,29.079997999999996,2
89,0,13.21308080000017,29.079997999999996,2
113,1,19.68749719999687,29.479998000000002,2
86,0,13.20545889999994,29.269998,2
86,0,12.053864800000156,29.269998,2
89,0,11.087251799999649,29.079997999999996,2
86,0,15.682836100000713,29.269998,2
86,0,12.780731400001969,29.269998,2
86,0,14.31911670000045,29.269998,2
86,0,12.877237699998659,29.269998,2
108,1,17.198936400000093,29.629998,2
86,0,12.943641800000478,29.269998,2
93,6,18.640874099997745,29.469997,3
86,0,12.990442300000723,29.269998,2
86,0,9.736002000001463,29.269998,2
86,0,13.75017399999706,29.269998,2
86,0,12.447264399997948,29.269998,2
86,0,11.967829400000483,29.269998,2
113,1,23.5402800999982,29.479998000000002,2
86,0,12.624336400000175,29.269998,2
86,0,15.49599169999783,29.269998,2
86,0,12.530548900002032,29.269998,2
86,0,10.930319099999906,29.269998,2
86,0,12.518057599998428,29.269998,2
25,0,11.794988800000283,29.069997,3
86,0,13.966359300000477,29.269998,2
86,0,14.806752600001346,29.269998,2
86,0,13.891448999998829,29.269998,2
113,1,14.28170239999963,29.479998000000002,2
86,0,12.948767900001258,29.269998,2
18,0,19.338300899999012,28.419998,3
108,1,19.518033600001218,29.629998,2
21,1,19.97782940000252,29.069996999999997,3
86,0,12.951219499998842,29.269998,2
113,1,20.445003400000132,29.479998000000002,2
86,0,12.449736500002473,29.269998,2
86,0,11.03895200000261,29.269998,2
86,0,12.324487599998974,29.269998,2
33,0,22.22022140000263,28.629997999999997,3
86,0,13.787734899997304,29.269998,2
86,0,12.376101199999539,29.269998,2
86,0,15.176476600001479,29.269998,2
86,0,12.810809999999037,29.269998,2
28,1,15.221096299999772,28.649997999999997,3
86,0,16.39030200000343,29.269998,2
86,0,11.312249700000393,29.269998,2
86,0,10.212227500000154,29.269998,2
86,0,10.865232399999513,29.269998,2
113,1,23.090337499997986,29.479998000000002,2
87,0,13.580885499999567,29.269998,2
86,0,12.68141679999826,29.269998,2
86,0,10.824810599999182,29.269998,2
108,1,19.53569289999723,29.629998,2
86,0,11.163227600001846,29.269998,2
86,0,14.353188099998079,29.269998,2
89,0,10.419729000001098,29.079997999999996,2
86,0,12.353226499999437,29.269998,2
17,1,17.15533040000082,28.669998,3
86,0,14.733349199999793,29.269998,2
86,0,14.261299800000415,29.269998,2
18,0,15.305540999997902,28.419998,3
93,6,17.34017540000059,29.469997,3
86,0,12.824192500000208,29.269998,2
109,1,18.13509509999858,29.469998,2
113,1,16.390185799999017,29.479998000000002,2
