times_onestep,times_twostep,sizes_onestep,sizes_twostep,rsum_onestep,rsum_twostep,coverage_onestep,coverage_twostep,time_relative_%,sizes_relative_%,rsum_relative_%,coverage_relative_%
0.1436495000089053,0.16153579999809153,2,2,2.726280979630321,2.738530427896225,102,102,12.451348586717947,0.0,0.44930982380125517,0.0
0.13779079998494126,0.16196090000448748,2,2,2.8532738865268845,2.8596347009496412,166,139,17.541156610011484,0.0,0.22293038368284163,-16.265060240963855
0.13824429997475818,0.16294190002372488,2,2,2.9612178573889647,2.9652617134750385,134,134,17.86518507705287,0.0,0.13656057341351682,0.0
0.1395708000054583,0.1617778000072576,2,2,2.4472313081543864,2.443078869582498,473,473,15.91092119621787,0.0,-0.16967903924946665,0.0
0.14331049998872913,0.1595112000068184,2,2,2.948518566699309,2.954943539789693,198,129,11.304614818428094,0.0,0.2179051257451172,-34.84848484848485
0.3110038999875542,0.1717210999922827,2,2,2.4532462298027085,2.5107155149279707,11,23,-44.78490462686974,0.0,2.3425812063668796,109.09090909090908
0.1404783000180032,0.1622571999905631,2,2,2.529441973940647,2.5845729145066847,30,47,15.503390893660285,0.0,2.179569293702693,56.666666666666664
0.14034959999844432,0.1544982000195887,2,2,2.8977214039406824,2.907696666314991,157,158,10.0809692519973,0.0,0.34424504580539533,0.6369426751592357
0.1275683999992907,0.13555279999854974,1,1,3.0055092495985307,3.0055092495985307,119,119,6.258916784488505,0.0,0.0,0.0
0.13864079999621026,0.15897530000074767,2,2,2.5548405553199602,2.5633900107441416,35,39,14.667038855151763,0.0,0.33463753369574517,11.428571428571429
0.13770940000540577,0.1567327000084333,2,2,2.8405745958372286,2.855290705997615,143,136,13.81408967164245,0.0,0.5180680761544699,-4.895104895104895
0.25266650001867674,0.17718149998108856,3,3,2.2180581338510086,2.2139358594275294,55,60,-29.875349534666622,0.0,-0.18585060330777312,9.090909090909092
0.12883359999977984,0.1358192999905441,1,1,3.0055092495985307,3.0055092495985307,119,119,5.422265612989312,0.0,0.0,0.0
0.20657400001073256,0.16091019997838885,2,2,2.4564116037563757,2.449132617538657,428,453,-22.105298842047524,0.0,-0.2963259987286894,5.841121495327103
0.13836199999786913,0.1671245000034105,2,2,2.4518214559553813,2.4461057435605773,453,473,20.787860833165414,0.0,-0.23312106927364973,4.415011037527594
0.13671250001061708,0.16004719998454675,2,2,2.8723228225613697,2.8930344976776183,161,154,17.06844653716193,0.0,0.7210775527584725,-4.3478260869565215
0.13699269999051467,0.3391739999933634,2,2,2.4564116037563757,2.449132617538657,428,453,147.58545529568195,0.0,-0.2963259987286894,5.841121495327103
0.13542700000107288,0.16402750002453104,2,2,2.8405745958372286,2.8612648847309345,143,139,21.11875772425851,0.0,0.7283839306324468,-2.797202797202797
0.14589049998903647,0.1618208999861963,2,2,2.8532738865268845,2.865608879682961,166,139,10.919422442418796,0.0,0.4323101688317481,-16.265060240963855
0.1519694999733474,0.1859256000025198,3,3,2.2045374759968195,2.202881025647147,61,61,22.344023001409912,0.0,-0.07513822594117299,0.0
0.13781109999399632,0.2909927000000607,2,2,2.267365376558287,2.269689698019936,1,1,111.153310591627,0.0,0.10251199412673571,0.0
0.1256532999977935,0.13983970001572743,1,1,3.0055092495985307,3.0055092495985307,119,119,11.290113366050104,0.0,0.0,0.0
0.13621530000818893,0.16674849999253638,2,2,2.4380510125523975,2.437025121626338,501,501,22.415396789135926,0.0,-0.04207832078892472,0.0
0.13629429999855347,0.16031680000014603,2,2,2.948518566699309,2.954943539789693,198,129,17.625461961246742,0.0,0.2179051257451172,-34.84848484848485
0.13520839999546297,0.15891969998483546,2,2,2.796127078423431,2.825151276832224,128,121,17.536854211844933,0.0,1.0380142817098883,-5.46875
0.1569733000069391,0.1980561999953352,4,4,2.2576483337856033,2.2693465242843023,1,1,26.17190311128071,0.0,0.5181582234768871,0.0
0.13660680002067238,0.27967989997705445,2,2,2.7643788516992904,2.799355842618859,107,128,104.73351248600447,0.0,1.265274869906772,19.626168224299064
0.1495547000085935,0.15829219997976907,2,2,2.2457406873822863,2.2466862028343697,4,4,5.842343952195086,0.0,0.04210261039468274,0.0
0.137226599996211,0.1585534999903757,2,2,2.8342249504924,2.8620799766215805,124,139,15.541374627625814,0.0,0.9828092905731065,12.096774193548388
0.12419699999736622,0.1359402000089176,1,1,3.0055092495985307,3.0055092495985307,119,119,9.455300862178968,0.0,0.0,0.0
0.1366660000057891,0.1572638000070583,2,2,2.561190200664788,2.5984199912534107,39,47,15.071634496068292,0.0,1.4536128780657944,20.51282051282051
0.13480020000133663,0.1574724999954924,2,2,2.8532738865268845,2.8536605222163223,166,166,16.81918869106348,0.0,0.013550598533966226,0.0
