times_onestep,times_twostep,feature_sizes_onestep,feature_sizes_twostep,rsum_onestep,rsum_twostep,coverage_onestep,coverage_twostep,time_relative_%,sizes_relative_%,rsum_relative_%,coverage_relative_%
0.03369450001628138,0.04054680000990629,5,5,5.170358117259832,5.174239422440481,1,1,20.336553414693313,0.0,0.0750684013103826,0.0
0.027275900007225573,0.03911599999992177,5,5,5.7120441909268,5.714908095158559,1,2,43.40865008875847,0.0,0.05013799151462341,100.0
0.026380700001027435,0.04005700000561774,5,5,4.779129498252561,4.788282907383255,1,1,51.842066374499765,0.0,0.1915287948158975,0.0
0.031232799985446036,0.04361409999546595,7,7,4.029996679226458,4.044514803253308,1,1,39.64197899576533,0.0,0.360251513399178,0.0
0.026299499993911013,0.03717220001271926,5,5,4.287433803243044,4.274262830013493,1,1,41.341850686612084,0.0,-0.3071994538921683,0.0
0.02647330000763759,0.03633609999087639,5,5,5.33472550616979,5.3402098913696205,1,1,37.25564995823478,0.0,0.10280538695922448,0.0
0.02961870000581257,0.042395299999043345,6,6,4.991967520470647,4.991159901760665,4,4,43.13693710636662,0.0,-0.016178364676254418,0.0
0.029831699997885153,0.04377150000073016,7,7,4.030193853801675,4.061848350396021,2,2,46.72814490569841,0.0,0.7854335980510238,0.0
0.028414600004907697,0.04010819998802617,6,6,5.018833936410009,5.01845843563625,3,3,41.15349144840605,0.0,-0.007481833001790055,0.0
0.030059600016102195,0.042362700012745336,6,6,4.3779008538897495,4.409427653257244,1,1,40.92902097849828,0.0,0.7201350697442797,0.0
0.03249610000057146,0.048634200007654727,8,8,3.32360994640156,3.3542676307808366,1,1,49.66165172682098,0.0,0.9224212489937121,0.0
0.02813429999514483,0.04046530000050552,6,6,4.794184074934236,4.805655956885898,1,1,43.82906277209196,0.0,0.23928747357952707,0.0
0.026595500006806105,0.03660180000588298,5,5,5.190712248873727,5.195682684234789,1,1,37.62403412801467,0.0,0.09575632635271751,0.0
0.027856500004418194,0.038309299998218194,5,5,5.409385906420938,5.4126096415074345,2,1,37.52373769907249,0.0,0.059595213620647555,-50.0
0.0261115999892354,0.03595089999726042,5,5,5.715371757311004,5.717985627259986,2,2,37.68172004810623,0.0,0.04573403201004166,0.0
0.027002000017091632,0.035846700018737465,5,5,5.727099499385903,5.730164028713002,1,1,32.75572178374693,0.0,0.05350927336651604,0.0
0.03439200000138953,0.049363499972969294,8,8,3.9508949860292737,3.93335325324317,1,1,43.531925944914136,0.0,-0.4439939013345836,0.0
0.02587330000824295,0.03611159999854863,5,5,5.338658269835075,5.342985445920545,1,1,39.57090895650677,0.0,0.08105362558827742,0.0
0.02637269999831915,0.03596039998228662,5,5,5.717248312847362,5.720352593474598,2,1,36.35463939823581,0.0,0.05429676056329347,-50.0
