times_onestep,times_twostep,feature_sizes_onestep,feature_sizes_twostep,rsum_onestep,rsum_twostep,coverage_onestep,coverage_twostep,time_relative_%,sizes_relative_%,rsum_relative_%,coverage_relative_%
0.032054000010248274,0.04026239999802783,6,6,1.2692877020770321,1.2769693851987747,1,3,25.60803639219809,0.0,0.6051963718842018,200.0
0.025765700003830716,0.03703400000813417,6,6,1.2938208304078873,1.3015195692681214,1,1,43.73372352634759,0.0,0.5950390254427269,0.0
0.02360939999925904,0.03261490000295453,5,5,1.6251537555974136,1.6302415316146637,1,1,38.143705490093424,0.0,0.3130642869775599,0.0
0.02625120000448078,0.039621599979000166,6,6,1.3832070291287517,1.3962757306240459,1,1,50.93252869292533,0.0,0.9448116746143064,0.0
0.02458289999049157,0.03756009999779053,6,6,1.2852092964801953,1.2905780710990646,1,3,52.789540747098265,0.0,0.41773543294253945,200.0
0.02569109998876229,0.037215699994703755,6,6,1.2354716503180543,1.2452573954096195,1,2,44.858336198070596,0.0,0.7920655313334036,100.0
0.027013799990527332,0.03726089998963289,6,6,1.2971744128675127,1.302260611214927,2,2,37.93283433911115,0.0,0.39209826349958204,0.0
0.025229699996998534,0.03884880000259727,6,6,1.17604901822831,1.1824253066350672,1,1,53.98042785771905,0.0,0.542178795945326,0.0
0.024881399993319064,0.03723009998793714,6,6,1.3207073281869564,1.3330880111065484,1,4,49.63024587818145,0.0,0.9374281989173202,300.0
0.026174600003287196,0.03721499998937361,6,6,1.2140999201344838,1.2190073609500245,1,1,42.179823128910776,0.0,0.40420403083439316,0.0
0.024940099974628538,0.03998850000789389,6,6,1.312242946525922,1.320151468299163,1,3,60.33817045069598,0.0,0.6026720733518425,200.0
0.024629499996080995,0.036803599999984726,6,6,1.2470327086730906,1.2497164337513464,1,1,49.428936867743374,0.0,0.2152088762059416,0.0
0.024676600005477667,0.037385799980256706,6,6,1.3725434715562312,1.3821041669915555,1,1,51.50304325538313,0.0,0.6965677687777732,0.0
0.02684649999719113,0.03742869998677634,6,6,1.2995562624243946,1.3125353870280896,1,4,39.41742868043279,0.0,0.9987351051259382,300.0
0.02427439999883063,0.039973100007046014,6,6,1.2436821546809864,1.2514817792135546,1,4,64.67183538613368,0.0,0.6271396998993588,300.0
0.02405229999567382,0.03720620000967756,6,6,1.3227969348590463,1.3353682307013672,1,3,54.68874085376314,0.0,0.9503571947466402,200.0
0.02773689999594353,0.03660849999869242,6,6,1.1648515991388861,1.1673527709781095,2,2,31.984828888759548,0.0,0.21472021337931518,0.0
0.024199800012866035,0.03921909999917261,6,6,1.3832156101611603,1.3888432765732706,2,3,62.06373597435283,0.0,0.4068538824149421,50.0
0.022921000025235116,0.033713199984049425,5,5,1.8769383669953406,1.8741034142336568,1,1,47.084332912754775,0.0,-0.15104133473610276,0.0
0.024873499991372228,0.03745370000251569,6,6,1.3461831025482032,1.3557997206610284,1,2,50.576718256405826,0.0,0.7143618200690399,100.0
0.0266049999918323,0.03703959999256767,6,6,1.2984266889240057,1.3100788740213318,1,4,39.22044729914971,0.0,0.8974080089945,300.0
0.02219909999985248,0.035082100017461926,5,5,1.8659054159059962,1.8655731895721996,1,1,58.03388433627967,0.0,-0.01780510046031883,0.0
0.025032900011865422,0.03723019998869859,6,6,1.3722267582281833,1.3722267582281833,3,3,48.72507768197743,0.0,0.0,0.0
0.026775100006489083,0.037002299999585375,6,6,1.3055787135784185,1.3121673478554756,1,1,38.196682703772076,0.0,0.5046523973264364,0.0
0.024608400010038167,0.03882649997831322,6,6,1.2483453389080048,1.253058436611406,2,2,57.77742544202492,0.0,0.37754758691404383,0.0
0.024669499980518594,0.039094499981729314,6,6,1.402009635595043,1.4121283502742072,1,2,58.47301328604991,0.0,0.7217293249821027,100.0
0.024936200003139675,0.037627599987899885,6,6,1.3270689326471319,1.3309269387762541,1,1,50.89548521090727,0.0,0.29071633237819783,0.0
0.05728050001198426,0.03292560001136735,5,5,1.7296008036256347,1.7296008036256347,1,1,-42.51865817428507,0.0,0.0,0.0
0.023336999991443008,0.03492030000779778,5,5,1.8242597790479187,1.8135733258348332,1,1,49.63491460171412,0.0,-0.5857966796079196,0.0
0.024658799986355007,0.03664350000326522,6,6,1.4669288677965064,1.478688926766781,1,1,48.60212185322062,0.0,0.8016788835807424,0.0
0.025737499992828816,0.036818499997025356,6,6,1.2638194616616256,1.2684340648093226,1,1,43.053909693187045,0.0,0.3651315150369577,0.0
0.020622200012439862,0.02846290002344176,4,4,4.772517392914541,4.780534386300036,45,52,38.020676776833604,0.0,0.16798248650486952,15.555555555555555
0.020627499994589016,0.029927199997473508,4,4,4.7270661865667,4.729459492388665,52,53,45.083989845225936,0.0,0.050629835240447375,1.9230769230769231
0.016694399993866682,0.020560999982990324,2,2,5.0464722554468615,5.034701712084714,26,25,23.16105993952573,0.0,-0.2332430015728935,-3.8461538461538463
0.01808900001924485,0.021063099993625656,2,2,5.040800705948734,5.039759708802666,26,26,16.44148361554905,0.0,-0.02065142438262135,0.0
0.018809400004101917,0.026193800003966317,3,3,5.024257383003173,5.021654871878894,34,35,39.25909384804419,0.0,-0.051798921231277356,2.941176470588235
0.02272800001082942,0.07580929997493513,5,5,4.869585920627043,4.8696615932528164,61,61,233.55024612290381,0.0,0.0015539848152802808,0.0
0.020072399987839162,0.025264800002332777,3,3,5.025638969905986,5.023174610850006,31,34,25.86835663717056,0.0,-0.0490357359678289,9.67741935483871
0.0317401000065729,0.03567120002117008,6,6,4.778324129844228,4.782624860902194,80,81,12.385279232841437,0.0,0.09000500889223088,1.25
