times_onestep,times_twostep,feature_sizes_onestep,feature_sizes_twostep,rsum_onestep,rsum_twostep,coverage_onestep,coverage_twostep,time_relative_%,sizes_relative_%,rsum_relative_%,coverage_relative_%
0.09476800000993535,0.1385788000188768,24,24,19.812946011464057,19.80707316961411,1,1,46.229528959509935,0.0,-0.029641436697743922,0.0
0.08729940000921488,0.14544670001487248,24,24,19.706192802993815,19.748450153237552,1,1,66.60675789240231,0.0,0.21443690654096048,0.0
0.08211009998922236,0.13076269999146461,21,21,20.593801186872845,20.593801186872845,1,1,59.25288120295592,0.0,0.0,0.0
0.08947020000778139,0.1480143000080716,26,26,19.74905347340472,19.77676571396024,1,1,65.43418925541522,0.0,0.14032186703448182,0.0
0.07164120001834817,0.1089806999952998,17,17,20.940111149790354,20.988022764638206,1,1,52.12014869570657,0.0,0.22880305890034142,0.0
0.0791791999945417,0.11780340000404976,20,20,20.75594025124158,20.759365449458176,1,1,48.780740411838785,0.0,0.016502255138222593,0.0
0.08745900000212714,0.14027190001797862,25,25,19.735447608191944,19.73763147219766,1,1,60.38589512179077,0.0,0.011065692803486089,0.0
0.08427880000090227,0.13105689999065362,23,23,19.585317203216874,19.58611961604775,1,1,55.50399387420153,0.0,0.004097012177794386,0.0
0.08439540001563728,0.1290815999964252,23,23,19.99056186834455,20.002617241548965,1,1,52.9486203898651,0.0,0.06030532450168396,0.0
0.08879449998494238,0.14006490001338534,25,25,19.3907530551998,19.389212194903823,1,1,57.74051324928606,0.0,-0.007946366454097183,0.0
0.06851510002161376,0.09838740000850521,15,15,21.76364933236646,21.7828288828322,1,1,43.59958604375961,0.0,0.08812653692786943,0.0
0.08293039997806773,0.13075599999865517,22,22,20.56540377846077,20.573626785792175,1,1,57.669563915326215,0.0,0.03998466268879284,0.0
0.08465720000094734,0.1291135000064969,22,22,19.778916106823782,19.78572501418785,1,1,52.51331251807535,0.0,0.03442507833742575,0.0
0.08659829999669455,0.1350842000101693,24,24,19.617905867597354,19.674898272760156,1,1,55.98943629993366,0.0,0.290512175700342,0.0
0.06982730000163428,0.10499839999829419,16,16,21.4524305817318,21.514090526280206,1,1,50.368695332393976,0.0,0.287426379558659,0.0
0.08698269998421893,0.13438329999917187,24,24,19.886770330577132,19.888774741898562,1,1,54.49428452273006,0.0,0.010079119374893138,0.0
0.07901380001567304,0.12373719998868182,21,21,20.63903554781506,20.64067251142115,1,1,56.60201124884201,0.0,0.00793139583630166,0.0
0.07722640002612025,0.11938590000499971,20,20,20.580106977756632,20.580106977756632,1,1,54.59208245447137,0.0,0.0,0.0
0.08722420001868159,0.18077410000842065,24,24,19.905011796698787,19.9230011230474,1,1,107.2522304242431,0.0,0.09037586378921748,0.0
0.09458340000128374,0.159307699999772,28,28,19.120314282878248,19.152380086049327,1,1,68.43092973778676,0.0,0.16770541894174468,0.0
0.08798640000168234,0.161842900008196,25,25,19.491766988108203,19.52171151066202,1,1,83.94081358607865,0.0,0.15362651611875258,0.0
0.07673070000601001,0.1309105999825988,19,19,20.533255914847338,20.54844955603522,1,1,70.61045966261887,0.0,0.07399528477553888,0.0
0.0843899000028614,0.13674149999860674,22,22,19.54240960427638,19.610560510206145,1,1,62.03538574399337,0.0,0.34873338196152054,0.0
0.08568239997839555,0.139970699994592,24,24,20.050221719551587,20.04737449968015,1,1,63.35991992507797,0.0,-0.014200440829345712,0.0
0.06016809999709949,0.0915190999803599,11,11,22.281791474959185,22.289055272040898,1,1,52.10568388360566,0.0,0.03259969957925458,0.0
0.11702820000937209,0.13955699998768978,24,24,19.801381405424813,19.801381405424813,1,1,19.250744672235832,0.0,0.0,0.0
0.09052779999910854,0.15121449998696335,26,26,19.55973884901687,19.58685594434676,1,1,67.03653462080423,0.0,0.1386373076819043,0.0
0.0874865000077989,0.1480020000017248,25,25,19.27298307292626,19.27298307292626,1,1,69.17124355018353,0.0,0.0,0.0
0.07914089999394491,0.13699980001547374,20,20,20.449660390449804,20.452401450667118,1,1,73.10872131344934,0.0,0.013403940040951638,0.0
0.061795499990694225,0.08930140000302345,12,12,22.082055426042746,22.08283943813126,1,1,44.511169933848464,0.0,0.003550448875280509,0.0
0.08831319998716936,0.14382349999505095,25,25,19.461092949076576,19.49365788706506,1,1,62.856175538816906,0.0,0.16733355147983842,0.0
0.08699650000198744,0.13815600000089034,24,24,20.465754000459103,20.479320822595145,1,1,58.806388760161795,0.0,0.06629036064704744,0.0
0.09095270000398159,0.15421320000314154,26,26,19.616821226143507,19.640815540883608,1,1,69.55318533302544,0.0,0.12231499927278375,0.0
0.07374910000362433,0.11747659998945892,18,18,21.204086262518707,21.204616937269144,1,1,59.29224896803572,0.0,0.002502700394000837,0.0
0.08940840000286698,0.14271360001293942,25,25,19.645709581436517,19.683142052317656,1,1,59.61990149512031,0.0,0.19053763737050122,0.0
0.0856303000182379,0.14497409999603406,24,24,19.52915877741214,19.544339345006033,1,1,69.30233803356623,0.0,0.07773282898110648,0.0
0.08746569999493659,0.1494376999908127,25,25,20.212490394205634,20.212490394205624,1,1,70.85291720007235,0.0,-5.273046927189585e-14,0.0
0.078509800019674,0.12378199998056516,19,19,20.115056631979403,20.162809040796187,1,1,57.66439342546569,0.0,0.23739634290099917,0.0
0.09592960000736639,0.14965390000725165,28,28,19.381962903934117,19.382130179611277,1,1,56.003882009056426,0.0,0.0008630481752006024,0.0
0.08838989998912439,0.13597080000909045,25,25,19.324485474214615,19.324485474214615,1,1,53.830697880437114,0.0,0.0,0.0
