Metric,ONESTEP_MEAN,ONESTEP_STD,TWOSTEP_MEAN,TWOSTEP_STD,MEAN_DIFF_%,STD_DIFF_%,POINTWISE_MEAN_%,POINTWISE_STD_%
Time,0.017210465000389377,0.0020639142064912868,0.023299600999307585,0.0074011848331593175,35.38042695987845,258.5994422579,35.23709236028628,40.23378394792532
Size,2.58,0.7507329751649384,2.58,0.7507329751649384,0.0,0.0,0.0,0.0
Ranges_Sum,2.556918375044621,0.44703389361004997,2.5407407712854355,0.45674193068743163,-0.6326992647508087,2.1716557102603122,-0.741962039129352,1.1606879259225604
Coverage,10.02,6.569596639063923,10.56,6.560975537220055,5.389221556886237,-0.13122726276078656,14.68940887973396,45.589034087277156
