times_onestep,times_twostep,feature_sizes_onestep,feature_sizes_twostep,rsum_onestep,rsum_twostep,coverage_onestep,coverage_twostep
0.0242988999998488,0.025128399996901862,3,3,1.9625447427248721,1.9069822805195993,20,29
0.0195229000019026,0.022667899997031782,3,3,1.9987055677909167,1.9349616925915694,1,16
0.016957300002104603,0.022802200001024175,3,3,1.9908081979455663,1.9305775961023268,2,24
0.018497699998988537,0.022909599996637553,3,3,1.9487456175305955,1.905763997602821,16,29
0.01732600000104867,0.02263140000286512,3,3,1.9487456175305955,1.9272741280589,16,25
0.017138699997303775,0.023007899999356596,3,3,1.920482162309901,1.8907727342025251,28,34
0.019133800000417978,0.02296589999969001,3,3,1.9697769077380811,1.9246238359893975,12,24
0.016985400001431117,0.024565499999880558,3,3,1.9487456175305955,1.9100660236940368,16,28
0.016436999998404644,0.022812300001533004,3,3,1.9415134525173865,1.8881224421330227,25,35
0.01717360000111512,0.022741900000255555,3,3,1.9697769077380811,1.9203218098981818,12,29
0.018878499999118503,0.023070799998095026,3,3,1.97700907275129,1.93796336536798,4,20
0.016712799999368144,0.024428299999271985,3,3,1.8915535022570653,1.8546227210530586,35,26
0.01719249999950989,0.023013000001810724,3,3,1.9697769077380811,1.9289258620806136,12,24
0.01667710000037914,0.02290500000162865,3,3,1.9835760329323573,1.947352249362255,4,4
0.016569100000197068,0.02455259999987902,3,3,1.97700907275129,1.93796336536798,4,20
0.017123800000263145,0.022370900001988048,3,3,1.920482162309901,1.8477524732903672,28,27
0.01716179999857559,0.022690600002533756,3,3,1.955312577711663,1.9323609859619593,23,24
0.019879600000422215,0.022947399997065077,3,3,1.871187416881721,1.852619606324437,30,30
0.01813860000038403,0.024541699996916577,3,3,1.9697769077380811,1.916019783806966,12,29
0.01871250000112923,0.022898699997313088,3,3,1.9132499972966919,1.8860372570063744,32,34
0.0190242999997281,0.02246709999963059,3,3,1.9480804126984541,1.9104174044009452,24,24
0.01924420000068494,0.02445110000189743,3,3,1.9697769077380811,1.890207627259671,12,29
0.017094499999075197,0.025370299998030532,3,3,1.9559777825438043,1.9104994747989719,5,28
0.016369299999496434,0.022914599998330232,3,3,1.9625447427248721,1.915586332702031,20,29
0.01826509999955306,0.022698100001434796,3,3,1.9697769077380811,1.933227888171829,12,23
0.01640890000271611,0.02495239999916521,3,3,1.955312577711663,1.9280589598707434,23,24
0.017177899997477653,0.022628300001088064,3,3,1.9625447427248721,1.9069822805195993,20,29
0.017279499999858672,0.02246010000089882,3,3,1.9625447427248721,1.9327944370668944,20,24
0.019055000000662403,0.024583500002336223,3,3,1.8849865420759977,1.8710459936060786,35,32
0.016587099999014754,0.02272620000076131,3,3,1.9625447427248721,1.919888358793247,20,24
0.016446300000097835,0.02297339999859105,3,3,1.906017832283483,1.8597916493541446,34,30
