Metric,ANCHORS_MEAN,ANCHORS_STD,TWOSTEP_MEAN,TWOSTEP_STD,MEAN_DIFF_%,STD_DIFF_%,POINTWISE_MEAN_%,POINTWISE_STD_%,ANCHORS_ERROR_RATE_MEAN%,ANCHORS_ERROR_RATE_STD%
Time,4.2323225024844096,3.862356615273446,0.5226443416152659,0.11702710701313802,-87.65112201850239,-96.97005950847827,-81.72090005508826,9.828533773768722,,
Size,4.22360248447205,1.6265466801942605,6.658385093167702,1.0282082954869702,57.64705882352942,-36.78581082196977,73.86473429951691,49.969277608538654,,
Ranges_Sum,6.809687068322981,1.3280898251605602,3.719002581493816,0.7798063707928322,-45.38658613559913,-41.28361229643808,-43.20142405140319,16.406724791889502,,
Coverage,14.055900621118013,8.280973063119541,2.515527950310559,2.343500567015906,-82.1034025629695,-71.70017884186811,-72.62421456778537,31.07767337537026,10.565158580384153,15.458810387972516
