Metric,ANCHORS_MEAN,ANCHORS_STD,TWOSTEP_MEAN,TWOSTEP_STD,MEAN_DIFF_%,STD_DIFF_%,POINTWISE_MEAN_%,POINTWISE_STD_%,ANCHORS_ERROR_RATE_MEAN%,ANCHORS_ERROR_RATE_STD%
Time,1.5239646524305437,1.594686716963149,0.3786261730908033,0.16737150135843595,-75.15518667136149,-89.50442744784563,-55.965222962053936,30.66816284859179,,
Size,3.2395833333333335,1.3274201561048156,5.630208333333333,0.9684559365514089,73.7942122186495,-27.042245659938747,95.49623842592592,62.66230199301974,,
Ranges_Sum,6.311422314236111,0.6242926956481989,4.426368443239877,0.589441557222997,-29.867338567160793,-5.582499790265243,-29.312207468062866,11.332150883730469,,
Coverage,67.00173611111111,48.40284151194393,8.90451388888889,9.407236083777116,-86.71002513409168,-80.56470283577096,-80.053433528144,55.148308931472755,1.8827603317289414,4.420918242689214
