Metric,ANCHORS_MEAN,ANCHORS_STD,TWOSTEP_MEAN,TWOSTEP_STD,MEAN_DIFF_%,STD_DIFF_%,POINTWISE_MEAN_%,POINTWISE_STD_%,ANCHORS_ERROR_RATE_MEAN%,ANCHORS_ERROR_RATE_STD%
Time,22.464260456674424,7.189438035441497,3.1974851077275823,0.619599988150225,-85.76634599703651,-91.38180223411334,-83.73778200264255,7.469735576918412,,
Size,2.2318501170960188,0.4791846079979415,20.4192037470726,3.566682453198374,814.9003147953829,644.3232511370015,833.1850117096019,170.33722767223503,,
Ranges_Sum,28.603184182669793,0.5375499429539444,16.960736906176614,2.1692286638618055,-40.70332590295017,303.539930065188,-40.77304788694639,6.859213444093685,,
Coverage,88.02576112412179,28.760120573942586,1.0679156908665106,0.3318758160739952,-98.78681459015085,-98.84605554687874,-98.5515307369388,1.0293635421044967,0.6187806520495178,2.4642268165805463
