Metric,ANCHORS_MEAN,ANCHORS_STD,TWOSTEP_MEAN,TWOSTEP_STD,MEAN_DIFF_%,STD_DIFF_%,POINTWISE_MEAN_%,POINTWISE_STD_%,ANCHORS_ERROR_RATE_MEAN%,ANCHORS_ERROR_RATE_STD%
Time,52.133000010897376,12.733375119626693,253.2262024397429,189.4804292254275,385.73111539104013,1388.061314814878,423.52432471024514,500.7949389498299,,
Size,2.891025641025641,0.3116070410958111,51.282051282051285,3.864358625582484,1673.8359201773835,1140.1384166394025,1702.136752136752,295.3444434439424,,
Ranges_Sum,57.106086532051286,0.9368391784723447,29.931898671841747,4.009876643652264,-47.585449311007835,328.02187779880893,-47.56959228358293,7.085469943114996,,
Coverage,2.480769230769231,3.3863813865929973,1.0,0.0,-59.68992248062016,-100.0,-22.387854377018463,34.98623578137298,1.9928466213295932,9.088074210088926
