times_onestep,times_twostep,sizes_onestep,sizes_twostep,rsum_onestep,rsum_twostep,coverage_onestep,coverage_twostep,time_relative_%,sizes_relative_%,rsum_relative_%,coverage_relative_%
0.47497010001097806,0.8236469999828842,10,10,5.495991055646245,5.494080532746412,1,1,73.41028413448491,0.0,-0.03476211806914305,0.0
0.44839770000544377,0.7339625000022352,10,10,6.135349992991727,6.407164672705498,1,1,63.68560766331418,0.0,4.4303043840084,0.0
0.45037950002006255,0.6775271999940742,8,8,6.215614073267219,6.312358760507465,1,1,50.43473336683688,0.0,1.556478347913125,0.0
0.447040900005959,0.737721400015289,9,9,6.026802553286488,6.0072806146655635,1,1,65.02324507790121,0.0,-0.3239186691171535,0.0
0.45251899998402223,0.7238472999888472,9,9,5.874705068873531,5.985440143946636,1,1,59.959537613758805,0.0,1.8849469679732798,0.0
0.4097118999925442,0.6231522999878507,8,8,6.471866889154151,6.476494799928907,1,1,52.09524058227027,0.0,0.07150812669697951,0.0
0.5088046999881044,0.7365622000070289,9,9,6.07712442402669,6.056954747162215,1,1,44.76324609899424,0.0,-0.33189507828293585,0.0
0.4683470999880228,0.9167701000114903,11,11,5.1794370817796676,5.336828831148939,1,1,95.74586882996289,0.0,3.038780988824966,0.0
0.45089229999575764,0.7270624999946449,10,10,5.077199011721393,5.161043882033486,1,1,61.2497041979838,0.0,1.6514001148768356,0.0
0.43877290000091307,0.7480434000026435,11,11,5.2539779122257295,5.357255872650024,1,1,70.48532395712836,0.0,1.9657098326198097,0.0
0.4727423000149429,0.7626109999837354,10,10,5.890997956051416,5.917036423424891,1,1,61.31642968264741,0.0,0.44200435253465487,0.0
0.4496500999957789,0.6906675000209361,9,9,6.399197842135274,6.379378260923138,1,1,53.601100061452186,0.0,-0.3097197758386989,0.0
0.43482890000450425,0.7193325000116602,9,9,6.229966025785204,6.284885826415859,1,1,65.42886179005323,0.0,0.8815425381671025,0.0
0.45856410000124015,0.7402638000203297,10,10,5.644027061457091,5.689301904187536,1,1,61.43082287041827,0.0,0.8021726727645453,0.0
0.5393350999802351,0.7177657000138424,9,9,6.1504563082299875,6.146670457135914,1,1,33.083439227327545,0.0,-0.06155398728720761,0.0
0.46495539997704327,0.8048221000062767,10,10,5.236960504821464,5.313016144554352,1,1,73.09662390113418,0.0,1.4522859139927973,0.0
0.46062630001688376,0.7630100000242237,11,11,5.004250038389054,5.136463340160427,1,1,65.64620821613016,0.0,2.6420202978893297,0.0
0.4401777000166476,0.7951880999899004,11,11,5.311083301683128,5.576589415247048,1,1,80.65160955673726,0.0,4.9990952595260225,0.0
0.44411710000713356,0.7012617000145838,9,9,6.200644615451466,6.235836444991633,1,1,57.90017993077048,0.0,0.5675511454481935,0.0
0.461348300013924,0.7062524000066333,10,10,6.105150299741691,6.232755570155381,1,1,53.084426665345404,0.0,2.0901249625105645,0.0
0.47517530000186525,0.8546968000009656,11,11,4.961229069173873,4.999803871669356,1,1,79.86978700231484,0.0,0.7775251244729646,0.0
0.4169228000100702,0.6157183000177611,7,7,7.500349731669612,7.739793781624352,1,1,47.68160916190941,0.0,3.1924384664851932,0.0
0.4245775000017602,0.6598395000037272,8,8,5.725836732666938,5.717686826234275,1,1,55.41084960955105,0.0,-0.1423356412900489,0.0
0.4533743000065442,0.7822123000223655,11,11,4.631572454924681,4.7334888623451,1,1,72.53123964262525,0.0,2.200470972057281,0.0
0.44312410001293756,0.7179363000032026,9,9,5.869970480773212,5.902259761307802,1,1,62.01698350016205,0.0,0.5500756884613249,0.0
