Metric,ANCHORS_MEAN,ANCHORS_STD,TWOSTEP_MEAN,TWOSTEP_STD,MEAN_DIFF_%,STD_DIFF_%,POINTWISE_MEAN_%,POINTWISE_STD_%,ANCHORS_ERROR_RATE_MEAN%,ANCHORS_ERROR_RATE_STD%
Time,0.05631984305551891,0.061776264416871646,0.036323984028361594,0.006247268769615652,-35.5041099944931,-89.88726685145846,1.0235500306142116,49.98653097649078,,
Size,2.6336805555555554,1.4419957459328998,5.098958333333333,1.2467731787999772,93.6058009228741,-13.538359435770964,151.78778108465607,145.6273888862574,,
Ranges_Sum,6.687498921875,0.6896065401393294,4.786591209689394,0.8023137503918204,-28.424792802099486,16.343697991860605,-27.552139485893722,15.15903690893962,,
Coverage,131.06423611111111,91.08198595435157,15.515625,15.188049222751037,-88.16181632734161,-83.32485939605778,-45.27143509850539,223.2330259447411,16.50946108857245,10.594769364757301
