Metric,ANCHORS_MEAN,ANCHORS_STD,TWOSTEP_MEAN,TWOSTEP_STD,MEAN_DIFF_%,STD_DIFF_%,POINTWISE_MEAN_%,POINTWISE_STD_%,ANCHORS_ERROR_RATE_MEAN%,ANCHORS_ERROR_RATE_STD%
Time,0.05266597253214733,0.057282701453041214,0.027818613735880945,0.006841921281686659,-47.17915117033023,-88.05586833697869,-8.949392233280392,50.781488476818964,,
Size,2.3605150214592276,1.4348763434592513,3.5622317596566524,1.34794015398823,50.90909090909091,-6.058793140420194,100.14306151645208,129.25293778981796,,
Ranges_Sum,4.84347525751073,1.2177754743525533,4.445362311010338,1.2065486618540349,-8.219572214868698,-0.921911529256845,4.502671500787093,61.76438537107312,,
Coverage,65.77682403433477,33.32299949723376,27.888412017167383,22.51361997997599,-57.601461568576276,-32.438194881451444,-21.087317891788672,161.41999960616906,13.49858184871694,8.046913669568927
