times_onestep,times_twostep,sizes_onestep,sizes_twostep,rsum_onestep,rsum_twostep,coverage_onestep,coverage_twostep,time_relative_%,sizes_relative_%,rsum_relative_%,coverage_relative_%
1.9593118999910075,3.3391256000031717,21,21,19.357699723180268,19.376727298910446,1,1,70.42338180146291,0.0,0.0982946114583682,0.0
2.250720200012438,2.983675099996617,23,23,17.98944121764679,17.759107344407216,1,1,32.56534952590414,0.0,-1.2803837009324468,0.0
1.7703363000182435,2.8890383999969345,21,21,20.243255090456085,20.25077364855899,1,1,63.19150208732446,0.0,0.03714105300411923,0.0
1.4605251000029966,2.6553398999967612,17,17,20.126222890254706,20.312242623708325,1,1,81.80720755783746,0.0,0.9242654941662798,0.0
1.7928354000032414,3.304919799993513,19,19,21.19851455562611,21.201243106451958,1,1,84.34039176086874,0.0,0.012871424640092971,0.0
0.9182075999851804,2.231057900004089,25,25,9.855253630206604,11.668422520179142,1,1,142.97968128777168,0.0,18.39799317203901,0.0
1.9863632000051439,3.5427398000028916,20,20,19.7662772204888,19.769816770664423,1,1,78.35307258983238,0.0,0.017907014741021625,0.0
1.569191899994621,2.9427782999991905,24,24,16.906814128508856,17.333921890397356,1,1,87.53463486583622,0.0,2.5262462734968874,0.0
1.9181993999809492,3.2611074000014924,23,23,19.3648101919362,19.360538082725032,1,1,70.00878011086232,0.0,-0.02206119847716016,0.0
1.7794211000145879,3.9336674000078347,16,16,21.48901201251063,21.476324135505184,1,1,121.06444618283925,0.0,-0.05904355676315304,0.0
2.175273200002266,3.1747987999988254,21,21,18.9909398016363,18.992376970354126,1,1,45.949428329072326,0.0,0.007567654538617952,0.0
1.6126195999968331,2.6388858999998774,24,24,16.700620899220226,16.781174791261275,1,1,63.639701514545635,0.0,0.4823407017448692,0.0
1.7907687000115402,3.1177690000040457,21,21,19.609830761713525,19.6200830699628,2,2,74.1022723919596,0.0,0.052281472358707,0.0
1.657502599991858,2.777016200008802,17,17,21.220466740756386,21.228590504120092,1,1,67.54219269535042,0.0,0.03828267993796418,0.0
1.5400474999914877,3.074410100001842,25,25,16.643350528197917,15.789212377228917,1,1,99.63086203632258,0.0,-5.132008422954743,0.0
1.8603025000193156,3.0909750999999233,19,19,19.842953085683405,19.855080684713748,1,1,66.15443455931653,0.0,0.06111791414299675,0.0
1.6932703999918886,2.8844547999906354,20,20,18.68861258930771,17.311531427953334,1,1,70.34814994725315,0.0,-7.36855748265788,0.0
1.7290209999773651,2.842390899983002,25,25,18.36111212884426,18.337096652897756,1,1,64.39308140388185,0.0,-0.13079532316985945,0.0
0.6509649000072386,1.9517780000169296,30,30,3.470775320714208,4.97096032801068,1,1,199.82845465173716,0.0,43.22333970577408,0.0
1.857687799987616,4.098889099986991,25,25,17.79538064073301,17.78675982347617,1,1,120.6446691427007,0.0,-0.04844412957994135,0.0
2.040041000000201,3.3211240000091493,19,19,19.405442430829837,19.389719068028242,1,1,62.79692417989745,0.0,-0.08102553115003674,0.0
1.8136966999736615,3.04258559999289,18,18,21.258249322511045,21.271066644681444,1,1,67.7560310958869,0.0,0.06029340410842866,0.0
2.1119067999825347,4.448978000000352,25,25,18.63785609259265,18.630382827957494,1,1,110.66166366987144,0.0,-0.04009723327634111,0.0
1.4860702999867499,2.8111984999850392,15,15,21.23665477853655,21.240004918191232,1,1,89.1699538043459,0.0,0.015775270114894463,0.0
2.1095198999973945,4.715695899998536,23,23,19.328254673642615,19.328716504893958,1,1,123.5435607886117,0.0,0.002389410006960952,0.0
2.2871332000067923,4.30669329999364,23,23,19.67051126211871,19.64692527147348,1,1,88.30093935853188,0.0,-0.11990532595178964,0.0
2.1719199000217486,3.9190223999903537,22,22,19.596400432210608,19.59507437367315,1,1,80.44046651771598,0.0,-0.006766847524091769,0.0
1.4653792000026442,3.01079440000467,16,16,21.342326372378476,21.351792902491226,1,1,105.46179446243247,0.0,0.044355661831699866,0.0
1.369143299991265,2.709182199992938,15,15,20.284068860275966,20.31318963706506,1,1,97.87426195711014,0.0,0.14356476991717224,0.0
2.580744600010803,3.79704999999376,17,17,22.02058374412545,22.022187918607464,1,1,47.13001821171555,0.0,0.007284886271205011,0.0
1.6072909999929834,3.199579000007361,20,20,16.757095567282626,17.727277039467015,1,1,99.06656604319497,0.0,5.789675593177492,0.0
1.8702453000005335,3.4191945000202395,26,26,17.412411898428054,17.11372534555376,1,1,82.82064390266154,0.0,-1.7153657667681208,0.0
1.5799695000168867,2.69594700000016,18,18,19.98008486246834,19.541255340684025,1,1,70.63285082220548,0.0,-2.19633462422692,0.0
1.4199287999945227,3.224738500022795,26,26,14.951950221523381,15.589124138549161,1,1,127.10564783496427,0.0,4.261476981835897,0.0
2.09132830001181,3.607688199990662,21,21,20.22836719770723,20.2081441924171,1,1,72.50702340566465,0.0,-0.09997349312711344,0.0
1.8095294999948237,3.4021049000148196,24,24,17.76894839671671,17.23608511686052,1,1,88.01046902106606,0.0,-2.9988453337770475,0.0
1.4695232000085525,2.6358463000215124,20,20,18.652945664834913,18.637930993733782,1,1,79.36745061297242,0.0,-0.08049490611789577,0.0
1.0877193000051193,2.6950847000116482,28,28,10.289647418725574,12.13656617930741,1,1,147.77391556801135,0.0,17.949291024498358,0.0
2.013657100003911,3.5669887000112794,26,26,18.006461561260284,18.010280847769696,1,1,77.13982683567878,0.0,0.021210644281321273,0.0
0.6818231999932323,1.8463361999893095,29,29,4.503357417734039,6.906899656917526,1,1,170.7939829574054,0.0,53.37222912217528,0.0
