times_twostep,sizes_twostep,rsum_twostep,coverage_twostep
148.70956769999975,52,32.62670621540194,1
115.10221599999932,51,31.821206146331015,1
223.31286790000013,49,24.54372395319265,1
68.54263799999899,48,25.819401050337635,1
97.20399720000023,47,33.185838498685904,1
216.0614544,47,32.986194601307375,1
399.30990829999973,52,23.829477835728298,1
50.800102200000765,50,21.362048904581318,1
143.13782419999916,51,27.23021672368177,1
114.0154051999998,47,36.729121291301155,1
139.82431170000018,54,32.93400237459338,1
171.65895969999838,55,30.68404699526606,1
91.60405019999962,56,31.789761179208416,1
141.5328397000012,50,32.847364647699955,1
311.9866031999991,55,30.889332769893752,1
235.29698260000077,58,31.827263601871945,1
245.8221332999983,51,35.475226259863106,1
158.015755800001,53,29.968462125120872,1
260.1880860000001,51,32.32643580503681,1
100.13649209999858,50,31.90396025580993,1
60.91447209999933,50,32.33134558497931,1
17.689712999999756,57,13.718697386155496,1
367.4202065999998,52,31.14363872422493,1
111.87533959999928,50,31.58686154786069,1
126.63059799999974,46,35.49316530436521,1
362.1534721000007,50,35.96174227321888,1
241.25015750000057,52,31.267541681896027,1
75.88323540000056,50,27.815811039856577,1
119.55770699999994,52,32.04155787707181,1
80.57062510000105,48,23.466231610043145,1
91.08299910000096,53,34.3741654073306,1
231.1393597999995,50,34.13420812738688,1
135.0305399000008,51,36.739496251180036,1
345.07726600000024,45,35.4842918356932,1
150.00414330000058,48,36.46597374389942,1
78.22942719999992,53,21.612852809425192,1
108.38273950000075,55,27.977232380776854,1
218.2315094000005,56,31.348580122258397,1
109.29019080000216,43,28.35839881035335,1
167.69541249999747,54,31.26831856202911,1
184.2509949000014,54,30.224220456121806,1
23.465875800000504,52,17.079940780897438,1
190.62543480000022,51,30.956354488511955,1
10.65450829999827,53,18.71403080957524,1
198.53478149999864,52,33.41724931128103,1
79.24616050000259,57,24.04994735142095,1
277.86661919999824,52,29.343500771125537,1
151.88254269999743,49,34.30123610887562,1
130.065835100002,49,27.880807078094524,1
24.105226499999844,56,18.1012265857463,1
17.800257700000657,54,17.070297150150378,1
64.35973749999903,47,36.36042411259988,1
98.42523159999837,50,32.482124263360795,1
205.44696269999986,53,30.862036581451058,1
202.77204930000153,52,31.11162038115246,1
23.018671499998163,52,28.377599261459704,1
31.182967099997768,56,14.800981201962527,1
