Metric,ONESTEP_MEAN,ONESTEP_STD,TWOSTEP_MEAN,TWOSTEP_STD,MEAN_DIFF_%,STD_DIFF_%,POINTWISE_MEAN_%,POINTWISE_STD_%
Time,55.16933888717909,58.75329260101497,190.5857184192311,143.8440059166389,245.45586781269498,144.827139975733,839.9674573317261,1548.7268612476335
Size,51.282051282051285,3.864358625582484,51.282051282051285,3.864358625582484,0.0,0.0,0.0,0.0
Ranges_Sum,25.940710310502872,7.283984346299578,29.466712316060576,4.195722731430087,13.592542237095554,-42.39797160517505,22.638757923641208,39.09099988319577
Coverage,1.0,0.0,1.0,0.0,0.0,nan,0.0,0.0
